Di;10:00;79;Echo;7.1
Di;11:30;85;Anori;6.9
Di;14:30;99;Nova Lituania;6.8
Di;18:00;85;Baumbacher Syndrome;7
Di;19:00;105;Feuer und Flamme;6.1
Di;20:00;105;Feuer und Flamme;6.1
Di;21:00;154;Olanda;6.5
Mi;10:00;105;Die Spionin;6.7
Mi;10:15;89;Das Kolonialinstitut;7
Mi;10:30;125;Herzdame;7.5
Mi;11:00;91;Romys Salon;7.5
Mi;13:00;128;Kongo;6.2
Mi;13:00;110;Ausnahme;7
Mi;13:15;62;Homs und ich;7
Mi;13:30;122;Pferde stehlen;6.7
Mi;16:15;79;Freistaat Mittelpunkt;5
Mi;16:15;5;Land der Gegenden;7
Mi;16:30;75;Skandinavisches Schweigen;6.2
Mi;16:30;90;The County;7.0
Mi;19:00;119;Sons of Denmark;6.5
Mi;19:00;104;Der Sohn des Vogelfängers;7.4
Mi;19:15;85;Anori;6.9
Mi;19:15;90;Tage des letzten Schnees;7
Mi;19:30;114;Meister Cheng;7.1
Mi;22:00;108;Weißer weißer Tag;7.1
Mi;22:15;81;Coup;7
Mi;22:30;106;Dogs Don’t Wear Pants;7.4
Do;10:00;104;Der Sohn des Vogelfängers;7.4
Do;10:15;89;Zu weit weg;7
Do;10:30;119;Sons of Denmark;6.5
Do;13:00;105;Die Spionin;6.7
Do;13:00;99;Nova Lituania;6.8
Do;13:15;93;Jenseits des Sichtbaren - Hilma af Klint;8.1
Do;13:30;105;Aurora;7.0
Do;16:00;122;Pferde stehlen;6.7
Do;16:00;85;Anori;6.9
Do;16:15;76;Bilderinnerungen (Kurzfilme);7
Do;16:30;110;Ausnahme;7
Do;16:45;128;Kongo;6.2
Do;19:00;108;Weißer weißer Tag;7.1
Do;19:00;79;Echo;7.1
Do;19:15;75;Skandinavisches Schweigen;6.2
Do;19:15;89;Auf einmal war es Liebe;7
Do;19:30;90;The County;7.0
Do;22:00;73;Über die Unendlichkeit;6.8
Do;22:15;84;Lebensentscheidungen (Kurzfilme);7
Do;22:30;105;Feuer und Flamme;6.1
Fr;10:00;114;Meister Cheng;7.1
Fr;10:15;88;To B or to B Flat - Der Komponist Boudewijn Buckinx;5
Fr;10:30;128;Kongo;6.2
Fr;11:00;89;Zu weit weg;7
Fr;13:00;79;Echo;7.1
Fr;13:00;106;Dogs Don’t Wear Pants;7.4
Fr;13:15;86;Ortserkundungen (Kurzfilme);6.7
Fr;13:30;108;Weißer weißer Tag;7.1
Fr;16:00;73;Über die Unendlichkeit;6.8
Fr;16:00;75;Skandinavisches Schweigen;6.2
Fr;16:15;84;Wechselbeziehungen (Kurzfilme);6.6
Fr;16:30;104;Der Sohn des Vogelfängers;7.4
Fr;19:00;105;Aurora;7.0
Fr;19:15;99;Nova Lituania;6.8
Fr;19:15;121;Pelikanblut;6.2
Fr;19:30;105;Die Spionin;6.7
Fr;22:00;125;Herzdame;7.5
Fr;22:15;90;Let the Bell Ring;8.1
Fr;22:30;122;Pferde stehlen;6.7
Sa;10:00;90;The County;7.0
Sa;10:15;88;Tatort: Borowski und das Haus am Meer;7
Sa;10:30;99;Nova Lituania;6.8
Sa;13:00;119;Sons of Denmark;6.5
Sa;13:00;114;Meister Cheng;7.1
Sa;13:15;91;Romys Salon;7.5
Sa;13:30;85;Anori;6.9
Sa;16:00;105;Feuer und Flamme;6.1
Sa;16:00;105;Aurora;7.0
Sa;16:15;67;Fortschritt im Tal der Ahnungslosen;7
Sa;16:30;79;Echo;7.1
Sa;19:00;110;Ausnahme;7
Sa;19:00;125;Herzdame;7.5
Sa;19:15;90;Weihnachten im Schnee;7
Sa;19:30;73;Über die Unendlichkeit;6.8
Sa;22:00;106;Dogs Don’t Wear Pants;7.4
Sa;22:15;72;Die Verwandlung;7
Sa;22:30;105;Die Spionin;6.7
So;10:00;75;Skandinavisches Schweigen;6.2
So;10:00;114;Meister Cheng;7.1
So;10:15;73;Über die Unendlichkeit;6.8
So;10:15;128;An der Bruchkante – Imker in Mecklenburg;6
So;10:30;110;Ausnahme;7
So;13:00;90;The County;7.0
So;13:00;105;Aurora;7.0
So;13:15;85;Anori;6.9
So;13:15;84;Katzenjammer Kauderwelsch;7
So;13:30;119;Sons of Denmark;6.5
So;13:45;105;Feuer und Flamme;6.1
So;16:00;105;Die Spionin;6.7
So;16:00;125;Herzdame;7.5
So;16:15;99;Nova Lituania;6.8
So;16:15;80;Born for Korn;7
So;16:30;108;Weißer weißer Tag;7.1
So;19:00;106;Dogs Don’t Wear Pants;7.4
So;19:00;104;Der Sohn des Vogelfängers;7.4
So;19:15;79;Echo;7.1
So;19:15;80;The Hidden City;7
So;19:30;128;Kongo;6.2
So;19:45;122;Pferde stehlen;6.7