Di;19:00;105;Feuer und Flamme;6.1
Di;20:00;98;Reconstructing Utøya;7.2
Di;20:00;105;Feuer und Flamme;6.1
Di;22:00;45;Der innere Zirkel;6.5
Di;22:15;25;Gösta;7.5
Mi;9:30;89;Sune vs Sune;5.5
Mi;10:15;45;Der innere Zirkel;6.5
Mi;13:15;87;Ins Land der Träume;6.8
Mi;19:00;104;Der Sohn des Vogelfängers;7.4
Mi;22:15;93;Inside Man - Der Mann aus der Kälte;4.1
Do;10:00;75;Saison;6.7
Do;10:00;104;Der Sohn des Vogelfängers;7.4
Do;13:45;98;Reconstructing Utøya;7.2
Do;19:15;85;PewPewPew;6.6
Do;19:30;48;Fürs Vaterland;7
Do;22:00;73;Über die Unendlichkeit;6.8
Do;22:30;105;Feuer und Flamme;6.1
Fr;9:30;89;Sune vs Sune;5.5
Fr;11:00;87;Ins Land der Träume;6.8
Fr;11:30;85;PewPewPew;6.6
Fr;16:00;73;Über die Unendlichkeit;6.8
Fr;16:30;104;Der Sohn des Vogelfängers;7.4
Fr;19:45;25;Gösta;7.5
Sa;9:00;87;Ins Land der Träume;6.8
Sa;10:15;89;Sune vs Sune;5.5
Sa;16:00;105;Feuer und Flamme;6.1
Sa;19:30;73;Über die Unendlichkeit;6.8
Sa;22:15;96;Der demokratische Terrorist;5.8
So;9:00;85;PewPewPew;6.6
So;10:00;60;Der sterbende Kommissar;7.1
So;10:15;60;Kurze für Kurze (Kurzfilme);6.3
So;10:15;73;Über die Unendlichkeit;6.8
So;13:45;105;Feuer und Flamme;6.1
So;19:00;104;Der Sohn des Vogelfängers;7.4
So;19:45;75;Saison;6.7