Mi;16:15;85;Kurzfilmprogramm: Kurz und dramatisch;5
Mi;22:15;85;Kurzfilmprogramm: Best of Filmschools;6
Do;13:15;87;Kurzfilmprogramm: Grenzgänger;7
Do;16:15;91;Kurzfilmprogramm: Kurze Doks;4
Di;22:45;79;Kurzfilmprogramm: Kurze nordische Doks;7
Mi;10:00;80;Kurzfilmprogramm: Sexkapaden, Singalongs und Splatter;8
Do;22:15;83;Nordic Shorts: Nachspiel;5
Fr;22:15;88;Nordic Shorts: Periskop;8
Sa;10:00;83;Nordic Shorts: Nachspiel;7
Sa;22:15;80;Kurzfilmprogramm: Sexkapaden, Singalongs und Splatter;2
So;10:00;88;Nordic Shorts: Periskop;5
Mi;12:30;121;Kurzfilmprogramm: Von Liebe, Tod und Miteinander;8
Do;10:15;79;Kurze für Kurze - Schweinchens Reise;9
Sa;11:00;90;Geschichten von Begebnungen und Freundschaft;7
Sa;11:30;121;Kurzfilmprogramm: Von Liebe, Tod und Miteinander;4
So;9:00;79;Kurze für Kurze - Schweinchens Reise;1